Time,Channel A,Channel B
(ms),(V),(V)

9.66252133,0.54261910,4.38154200
9.68300133,0.45213170,4.47187700
9.70348133,0.45213170,4.47187700
9.72396133,0.45213170,4.56221200
9.74444133,0.40681170,4.56221200
9.76492133,0.36164430,4.56221200
9.78540133,0.31632440,4.56221200
9.80588133,0.31632440,4.56221200
9.82636133,0.27115700,4.65224200
9.84684133,0.27115700,4.65224200
9.86732133,0.22583700,4.74257700
9.88780133,0.18066960,4.74257700
9.90828133,0.18066960,4.74257700
9.92876133,0.13550220,4.74257700
9.94924133,0.13550220,4.83260600
9.96972133,0.09018219,4.83260600
9.99020133,0.09018219,4.83260600
10.01068133,0.04501480,4.92294100
10.03116133,-0.00030519,4.92294100
10.05164133,-0.00030519,4.92294100
10.07212133,-0.04547258,4.92294100
10.09260133,-0.09079257,5.01327600
10.11308133,-0.09079257,5.01327600
10.13356133,-0.13596000,5.10330500
10.15404133,-0.13596000,5.10330500
10.17452133,-0.18127990,5.10330500
10.19500133,-0.22659990,5.10330500
10.21548133,-0.22659990,5.10330500
10.23596133,-0.27176730,5.10330500
10.25644133,-0.27176730,5.19364000
10.27692133,-0.31708730,5.19364000
10.29740133,-0.36225470,5.10330500
10.31788133,-0.36225470,5.28397500
10.33836133,-0.40757470,5.28397500
10.35884133,-0.45274210,5.28397500
10.37932133,-0.45274210,5.28397500
10.39980133,-0.49806210,5.28397500
10.42028133,-0.49806210,5.28397500
10.44076133,-0.54338200,5.28397500
10.46124133,-0.54338200,5.37400400
10.48172133,-0.58854940,5.37400400
10.50220132,-0.63386950,5.37400400
10.52268132,-0.63386950,5.37400400
10.54316132,-0.67903690,5.37400400
10.56364132,-0.67903690,5.37400400
10.58412132,-0.72435680,5.37400400
10.60460132,-0.76952420,5.37400400
10.62508132,-0.76952420,5.37400400
10.64556132,-0.81484420,5.37400400
10.66604132,-0.81484420,5.37400400
10.68652132,-0.86001160,5.37400400
10.70700132,-0.86001160,5.37400400
10.72748132,-0.90533160,5.37400400
10.74796132,-0.90533160,5.37400400
10.76844132,-0.95065160,5.37400400
10.78892132,-0.99581900,5.28397500
10.80940132,-0.99581900,5.28397500
10.82988132,-1.04113900,5.28397500
10.85036132,-1.08630600,5.37400400
10.87084132,-1.08630600,5.37400400
10.89132132,-1.08630600,5.28397500
10.91180132,-1.13162600,5.37400400
10.93228132,-1.13162600,5.37400400
10.95276132,-1.17679400,5.37400400
10.97324132,-1.22211400,5.37400400
